sos_precinct_id,party,HD,total,pct,eday,mail,early
,Laurel Jordan Swift,,389,53.29%,49,28,312
BEXAR 3181,3181 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1141,56.57%,217,48,876
,Laurel Jordan Swift,,876,43.43%,155,68,653
BEXAR 3183,3183 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,9,90.00%,0,2,7
,Laurel Jordan Swift,,1,10.00%,1,0,0
BEXAR 3197,3197 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,0,,,,
,Laurel Jordan Swift,,0,,,,
BEXAR 3201,3201 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,2124,64.68%,309,54,1761
,Laurel Jordan Swift,,1160,35.32%,184,61,915
BEXAR 4021,4021 BS 92,121,,,,,
,,,,,,,
,Marc LaHood,,258,47.08%,83,11,164
,Laurel Jordan Swift,,290,52.92%,76,20,194
BEXAR 4046,4046 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,783,46.19%,83,61,639
,Laurel Jordan Swift,,912,53.81%,106,117,689
BEXAR 4055,4055 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,510,54.14%,91,25,394
,Kristian Carranza,,432,45.86%,65,49,318
BEXAR 4056,4056 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,960,51.61%,160,28,772
,Kristian Carranza,,900,48.39%,150,95,655
BEXAR 4057,4057 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,711,58.37%,44,33,634
,Kristian Carranza,,507,41.63%,45,42,420
BEXAR 4058,4058 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,714,62.25%,86,15,613
,Kristian Carranza,,433,37.75%,62,36,335
BEXAR 4071,4071 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,975,83.26%,81,25,869
,Kristian Carranza,,196,16.74%,27,13,156
BEXAR 4072,4072 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,1642,68.16%,174,22,1446
,Kristian Carranza,,767,31.84%,78,39,650
BEXAR 4073,4073 BS 109,118,,,,,
,,,,,,,
,John Lujan III,,596,51.11%,114,11,471
,Kristian Carranza,,570,48.89%,107,19,444
BEXAR 4074,4074 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,863,61.25%,211,20,632
,Kristian Carranza,,546,38.75%,149,25,372
BEXAR 4078,4078 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,701,77.29%,66,14,621
,Kristian Carranza,,206,22.71%,28,6,172
BEXAR 4079,4079 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,547,56.16%,84,36,427
,Kristian Carranza,,427,43.84%,76,38,313
BEXAR 4081,4081 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,122,52.36%,16,43,63
,Kristian Carranza,,111,47.64%,17,40,54
BEXAR 4085,4085 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,23,85.19%,1,0,22
,Kristian Carranza,,4,14.81%,0,0,4
BEXAR 4086,4086 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,210,64.42%,44,3,163
,Kristian Carranza,,116,35.58%,17,5,94
BEXAR 4097,4097 BS 116,118,,,,,
,,,,,,,
,John Lujan III,,763,50.93%,129,26,608
,Kristian Carranza,,735,49.07%,123,38,574
BEXAR 4098,4098 BS 117,118,,,,,
,,,,,,,
,John Lujan III,,442,48.25%,77,6,359
,Kristian Carranza,,474,51.75%,79,19,376
BEXAR 4100,4100 BS 118,118,,,,,
,,,,,,,
,John Lujan III,,278,46.03%,40,8,230
,Kristian Carranza,,326,53.97%,42,19,265
BEXAR 4102,4102 BS 92,121,,,,,
,,,,,,,
,Marc LaHood,,121,34.97%,28,7,86
,Laurel Jordan Swift,,225,65.03%,51,12,162
BEXAR 4103,4103 BS 119,118,,,,,
,,,,,,,
,John Lujan III,,0,,,,
,Kristian Carranza,,0,,,,
BEXAR 4104,4104 BS 117,118,,,,,
,,,,,,,
,John Lujan III,,764,46.61%,157,11,596
,Kristian Carranza,,875,53.39%,172,34,669
BEXAR 4105,4105 BS 116,118,,,,,
,,,,,,,
,John Lujan III,,504,58.20%,66,15,423
,Kristian Carranza,,362,41.80%,50,10,302
BEXAR 4108,4108 BS 117,118,,,,,
,,,,,,,
,John Lujan III,,921,46.14%,176,21,724
,Kristian Carranza,,1075,53.86%,218,57,800
BEXAR 4112,4112 BS 122,121,,,,,
,,,,,,,
,Marc LaHood,,262,47.72%,18,42,202
,Laurel Jordan Swift,,287,52.28%,12,59,216
BEXAR 4116,4116 BS 124,118,,,,,
,,,,,,,
,John Lujan III,,15,51.72%,0,0,15
,Kristian Carranza,,14,48.28%,0,4,10
BEXAR 4117,4117 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,145,43.15%,16,13,116
,Laurel Jordan Swift,,191,56.85%,23,11,157
BEXAR 4118,4118 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,36,72.00%,1,0,35
,Kristian Carranza,,14,28.00%,0,2,12
BEXAR 4121,4121 BS 109,118,,,,,
,,,,,,,
,John Lujan III,,88,59.86%,6,0,82
,Kristian Carranza,,59,40.14%,5,0,54
BEXAR 4126,4126 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,780,51.69%,129,25,626
